Ürün Adı,Fiyat,Link,Özellikler
baytarzıN,339 TL,https://www.trendyol.com/baytarzin/unisex-beyaz-siyah-sneaker-spor-ayakkabi-yuruyus-gunluk-ayakkab-neo-dassler-p-731118499?boutiqueId=61&merchantId=826872,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Cushioning', 'Dış Materyal': 'Suni Deri', 'Kullanım Alanı': 'Günlük', 'Taban Tipi': 'Memory Foam İç Taban', 'Renk': 'Beyaz', 'Saya Materyali': 'Suni Deri', 'Astar Materyali': 'Suni Deri', 'İç Taban Materyali': 'Suni Deri', 'Taban Materyali': 'Termoplastik', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Persona': 'Cool & Comfort', 'Ek Özellik': 'Su Geçirmez', 'Sürdürülebilirlik Detayı': 'Organik', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Düz'}"

Şenpa,358 TL,https://www.trendyol.com/senpa/siyah-cilt-kadin-okceli-duz-sivri-bot-bootie-p-151696010?boutiqueId=61&merchantId=845506,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Dış Materyal': 'Suni Deri', 'Taban': 'Kauçuk', 'Kumaş Teknolojisi': 'Ter Tutmayan', 'Boy / Ölçü': 'Kısa', 'Taban Materyali': 'PVC', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Suni Deri', 'Astar Materyali': 'Suni Deri', 'Ek Özellik': 'Ortopedik Taban', 'Ortam': 'Casual/Günlük', 'Okula Dönüş': 'Üniversite'}"

Entella Store,649 TL,https://www.trendyol.com/entella-store/kadin-bej-kut-burun-topuklu-bot-p-760467630?boutiqueId=61&merchantId=862278,"{'Materyal': 'Suni Deri', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Kumaş Teknolojisi': 'Suya Dayanıklı', 'Bağlama Şekli': 'Fermuarlı', 'Kullanım Alanı': 'Outdoor', 'Renk': 'Bej', 'Desen': 'Düz', 'Dış Materyal': 'Suni Deri', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Orta', 'İç Taban Materyali': 'Tekstil'}"

Freemax,"749,90 TL",https://www.trendyol.com/freemax/su-gecirmez-kurklu-kislik-fermuarli-bot-kaucuk-taban-saglam-outdoor-garantili-urun-siyah-p-170576420?boutiqueId=61&merchantId=369181&advertItems=eyJhZHZlcnRJZCI6ImIzMGZhNzZmLWZhMTUtNDYyMC04YmUyLTllMmQwMWJkYmQ4YiIsInNvcnRpbmdTY29yZSI6MC4wMjY0NjM3OTAzOTIwNzM3MiwiYWRTY29yZSI6MC4wMTE3OTI4NTk5OTM4NzUwMjcsImFkU2NvcmVzIjp7IjEiOjAuMDExNzkyODU5OTkzODc1MDI3LCIyIjowLjAxMTc5Mjg1OTk5Mzg3NTAyN30sImNwYyI6Mi4yNDQwNTE5NDM3ODc4OTIsIm1pbkNwYyI6MC4wMSwiZUNwYyI6Mi4xMzcyMTI2NTA3MDE3NDE3LCJhZHZlcnRTbG90IjozLCJvcmRlciI6MTEsImF0dHJpYnV0ZXMiOiIifQ==,"{'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Materyal': 'Polar', 'Bağlama Şekli': 'Bağcıklı', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Desen': 'Düz', 'Dış Materyal': 'Suni Deri', 'Taban': 'Kauçuk', 'Boy / Ölçü': 'Kısa', 'Taban Materyali': 'Kauçuk', 'Saya Materyali': 'Suni Deri', 'İç Taban Materyali': 'Tekstil', 'Astar Materyali': 'Tekstil', 'Persona': 'Young', 'Ek Özellik': 'Su Geçirmez', 'Koleksiyon': 'Unisex', 'Ortam': 'Casual/Günlük', 'Ürün Detayı': 'Suni Deri', 'Materyal Bileşeni': '%80 Suni Deri, %20 Kürk'}"

Pull & Bear,790 TL,https://www.trendyol.com/pull-bear/kalin-tabanli-denim-spor-ayakkabi-p-752372924?boutiqueId=61&merchantId=112044,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Poliüretan', 'Kullanım Alanı': 'Spor', 'Taban Tipi': 'Kalın Taban', 'Renk': 'Lacivert', 'Astar Materyali': 'Tekstil', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Ortam': 'Casual/Günlük', 'Desen': 'Renk Bloklu', 'Deri Kalitesi': 'İmitasyon Deri'}"

selinshoes,620 TL,https://www.trendyol.com/selinshoes/kisa-topuklu-strec-bot-siyah-p-777272863?boutiqueId=61&merchantId=870510,"{'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Renk': 'Siyah'}"

Lumberjack,799 TL,https://www.trendyol.com/lumberjack/finster-wmn-3pr-beyaz-kadin-sneaker-p-747148614?boutiqueId=61&merchantId=265447,"{'Bağlama Şekli': 'Bağcıklı', 'Renk': 'Beyaz', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük'}"

