Ürün Adı,Fiyat,Link,Özellikler
Marjin,"636,99 TL",https://www.trendyol.com/marjin/kadin-sneaker-yuksek-taban-bagcikli-spor-ayakkabi-azin-siyah-p-35423655?boutiqueId=61&merchantId=102,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Poliüretan', 'Dış Materyal': 'Suni Deri', 'Kullanım Alanı': 'Spor', 'Taban Tipi': 'Kalın Taban', 'Renk': 'Siyah', 'Saya Materyali': 'Suni Deri', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'Poli', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Persona': 'None Persona', 'Ek Özellik': 'Ek Özellik Mevcut Değil', 'Sürdürülebilirlik Detayı': 'Hayır', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Koleksiyon': 'Basic', 'Desen': 'Düz', 'Deri Kalitesi': 'İmitasyon Deri', 'Materyal Bileşeni': 'NaN% undefined'}"

Papuckurdu,"599,85 TL",https://www.trendyol.com/papuckurdu/kadin-siyah-lastikli-bot-p-66309405?boutiqueId=61&merchantId=235144,"{'Özellik': 'Gore-Tex', 'Materyal': 'Suni Deri', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Kumaş Teknolojisi': 'Suya Dayanıklı', 'Bağlama Şekli': 'Bağcıksız', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Desen': 'Hayvan Desenli', 'Dış Materyal': 'Suni Deri', 'Taban Teknolojisi': 'Su Tahliyeli', 'Taban': 'Kauçuk', 'İzolasyon': 'Sentetik Dolgu', 'Spor Türü': 'Trekking', 'Sürdürülebilir': 'Geri Dönüştürülmüş Metaryal', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Orta'}"

JOSEPHWORLD,"401,32 TL",https://www.trendyol.com/josephworld/luis-toronto-002-siyah-lastikli-bot-p-411954806?boutiqueId=61&merchantId=661725,"{'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Kalın Topuklu', 'Bağlama Şekli': 'Lastikli', 'Kullanım Alanı': 'Günlük', 'Renk': 'Siyah', 'Dış Materyal': 'Suni Deri', 'Taban Teknolojisi': 'EVA Orta Taban', 'Kumaş Teknolojisi': 'Ultra Hafif', 'Kalıp': 'Regular', 'Taban Materyali': 'Poli', 'Astar Materyali': 'Tekstil'}"

Sicilia outdoors,"299,95 TL",https://www.trendyol.com/sicilia-outdoors/siyah-kadin-fileli-sneaker-gunluk-ayakkabi-p-314598455?boutiqueId=61&merchantId=564522&advertItems=eyJhZHZlcnRJZCI6ImZmNWQ3NmY0LTA5ZWQtNDBkNi1hYzFjLWQ5NTAyNjcyMzRhZiIsInNvcnRpbmdTY29yZSI6MC4wMTYyNDM1MzU0OTUyOTYzODcsImFkU2NvcmUiOjAuMDEyODgyMDc4OTk3NzkwODEzLCJhZFNjb3JlcyI6eyIxIjowLjAxMjg4MjA3ODk5Nzc5MDgxMywiMiI6MC4wMTI4ODIwNzg5OTc3OTA4MTN9LCJjcGMiOjEuMjYwOTQwNTI4MTYxODAwNywibWluQ3BjIjowLjAxLCJlQ3BjIjoxLjI2MDk0MDUyODE2MTgwMDcsImFkdmVydFNsb3QiOjEwLCJvcmRlciI6MTUsImF0dHJpYnV0ZXMiOiIifQ==,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Termo Taban', 'Materyal': 'Tekstil', 'Dış Materyal': 'Tekstil', 'Kullanım Alanı': 'Outdoor', 'Taban Tipi': 'Düz Taban', 'Renk': 'Siyah', 'Saya Materyali': 'Suni Deri', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'Termoplastik', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Ek Özellik': 'Ek Özellik Mevcut Değil', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Sportswear'}"

galya shoes,224 TL,https://www.trendyol.com/galya-shoes/kadin-beyaz-cirtli-spor-ayakkabi-p-455855471?boutiqueId=61&merchantId=431868,"{'Bağlama Şekli': 'Bağcıksız', 'Taban Teknolojisi': 'Kauçuk Taban', 'Materyal': 'PU', 'Dış Materyal': 'Suni Deri', 'Kullanım Alanı': 'Günlük', 'Taban Tipi': 'Kaydırmaz Taban', 'Renk': 'Beyaz', 'Saya Materyali': 'Suni Deri', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'PVC', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Persona': 'Cool & Comfort', 'Ek Özellik': 'Ortopedik Taban', 'Sürdürülebilirlik Detayı': 'Hayır', 'Topuk Tipi': 'Dolgu Topuklu', 'Ortam': 'Casual/Günlük', 'Koleksiyon': 'SK8-HI', 'Desen': 'Düz', 'Deri Kalitesi': 'İmitasyon Deri', 'Kumaş Tipi': 'Kumaş', 'Okula Dönüş': 'Lise'}"

Gökcen,"599,99 TL",https://www.trendyol.com/gokcen/dortex-d319-ici-hakiki-topuk-jelli-deri-ortopedik-anne-ayakkabisi-p-68515024?boutiqueId=61&merchantId=109689,"{'Materyal': 'Hakiki Deri', 'Renk': 'Siyah', 'Kullanım Alanı': 'Outdoor'}"

Weynes,"299,99 TL",https://www.trendyol.com/weynes/kadin-tas-detayli-su-gecirmez-topuklu-bot-botie-wsb0286-p-365913062?boutiqueId=61&merchantId=119576,"{'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Materyal': 'Su Geçirmez', 'Topuk Tipi': 'Kalın Topuklu', 'Kullanım Alanı': 'Outdoor', 'Bağlama Şekli': 'Fermuarlı', 'Renk': 'Siyah', 'Kalıp': 'Regular', 'Boy / Ölçü': 'Orta', 'Taban Materyali': 'Neolit', 'Okula Dönüş': 'Üniversite'}"

Dark Seer,979 TL,https://www.trendyol.com/dark-seer/ds-linda-bej-taba-kadin-sneaker-p-293117736?boutiqueId=61&merchantId=104936&advertItems=eyJhZHZlcnRJZCI6ImE3NzdkYTM2LWE5ZDktNDYxNi04Yjk0LTgwZTZhYTM2ZjU1NiIsInNvcnRpbmdTY29yZSI6MC4wMTYxMjc0OTA1MjA0NzcyOTgsImFkU2NvcmUiOjAuMDIyOTA4MzY3MjE2NTg3MDY3LCJhZFNjb3JlcyI6eyIxIjowLjAyMjkwODM2NzIxNjU4NzA2NywiMiI6MC4wMjI5MDgzNjcyMTY1ODcwNjd9LCJjcGMiOjAuNzA0MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjcwNDAwMDAwMDAwMDAwMDEsImFkdmVydFNsb3QiOjExLCJvcmRlciI6MTksImF0dHJpYnV0ZXMiOiIifQ==,"{'Bağlama Şekli': 'Bağcıklı', 'Taban Teknolojisi': 'Eva Taban', 'Materyal': 'Suni Deri', 'Renk': 'Çok Renkli', 'Saya Materyali': 'Tekstil', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'EVA', 'Topuk Boyu': 'Orta Topuklu (5-9 cm)', 'Ek Özellik': 'Ortopedik Taban', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Renk Bloklu', 'Kumaş Tipi': 'Örme', 'Materyal Bileşeni': '%10 Suni Deri, %90 PU'}"

Lumberjack,710 TL,https://www.trendyol.com/lumberjack/freya-1fx-beyaz-kadin-sneaker-ayakkabi-100785034-p-70880758?boutiqueId=61&merchantId=111084,"{'Kullanım Alanı': 'Günlük', 'Renk': 'Beyaz'}"

Gökhan Talay,849 TL,https://www.trendyol.com/gokhan-talay/mojito-strec-kadin-topuklu-bot-p-353601074?boutiqueId=61&merchantId=105023,"{'Topuk Boyu': 'Yüksek Topuklu (10 cm ve üzeri)', 'Topuk Tipi': 'İnce Topuklu', 'Renk': 'Siyah', 'Desen': 'Düz Renk'}"

LETOON,199 TL,https://www.trendyol.com/letoon/kadin-bot-ev-is-ofis-ici-sicak-rahat-giyim-ofis-comfort-p-737099327?boutiqueId=61&merchantId=4553,"{'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Topuk Tipi': 'Düz Topuklu', 'Kullanım Alanı': 'Günlük', 'Renk': 'Beyaz'}"

Dark Seer,799 TL,https://www.trendyol.com/dark-seer/kadin-beyaz-pudra-sneaker-p-68329560?boutiqueId=61&merchantId=104936&advertItems=eyJhZHZlcnRJZCI6ImE3NzdkYTM2LWE5ZDktNDYxNi04Yjk0LTgwZTZhYTM2ZjU1NiIsInNvcnRpbmdTY29yZSI6MC4wMTU5OTYzMjg4MzA3MTg5OTQsImFkU2NvcmUiOjAuMDIyNzIyMDU3OTk4MTgwMzksImFkU2NvcmVzIjp7IjEiOjAuMDIyNzIyMDU3OTk4MTgwMzksIjIiOjAuMDIyNzIyMDU3OTk4MTgwMzl9LCJjcGMiOjAuNzA0MDAwMDAwMDAwMDAwMSwibWluQ3BjIjowLjAxLCJlQ3BjIjowLjcwNDAwMDAwMDAwMDAwMDEsImFkdmVydFNsb3QiOjEyLCJvcmRlciI6MjMsImF0dHJpYnV0ZXMiOiIifQ==,"{'Bağlama Şekli': 'Bağcıklı', 'Materyal': 'Poliüretan', 'Taban Tipi': 'Düz Taban', 'Renk': 'Beyaz', 'Astar Materyali': 'Tekstil', 'İç Taban Materyali': 'Tekstil', 'Taban Materyali': 'Poli', 'Topuk Boyu': 'Kısa Topuklu (1- 4 cm)', 'Ek Özellik': 'Ortopedik Taban', 'Topuk Tipi': 'Düz Topuklu', 'Ortam': 'Casual/Günlük', 'Desen': 'Renk Bloklu', 'Kumaş Tipi': 'Dokuma', 'Materyal Bileşeni': '%90 PU, %10 Suni Deri'}"

